number,name,species,primary_type,secondary_type,pokedexX,pokedexY,pokedexOR,pokedexAS
359,Absol,Disaster,DARK,NONE,It senses coming disasters and appears before people only to warn them of impending danger.,"It appears when it senses an impending natural disaster. As a result, it was mistaken as a doom bringer.","Every time Absol appears before people, it is followed by a disaster such as an earthquake or a tidal wave. As a result, it came to be known as the disaster Pok̩mon.","Absol has the ability to foretell the coming of natural disasters. It lives in a harsh, rugged mountain environment. This Pok̩mon very rarely ventures down from the mountains."
360,Wynaut,Bright,PSYCHIC,NONE,It tends to move in a pack with others. They cluster in a tight group to sleep in a cave.,It grows strong by pushing up against others en masse. It loves eating sweet fruit.,"Wynaut can always be seen with a big, happy smile on its face. Look at its tail to determine if it is angry. When angered, this Pok̩mon will be slapping the ground with its tail.","Wynaut gather on moonlit nights to play by squeezing up against each other. By being squeezed, this Pok̩mon gains endurance and is trained to dole out powerful counterattacks."
361,Snorunt,Snow Hat,ICE,NONE,It is said that several Snorunt gather under giant leaves and live together in harmony.,"In the snow country, certain folklore says a house will prosper if a Snorunt lives there. ","Snorunt live in regions with heavy snowfall. In seasons without snow, such as spring and summer, this Pok̩mon steals away to live quietly among stalactites and stalagmites deep in caverns.",Snorunt survives by eating only snow and ice. Old folklore claims that a house visited by this Pok̩mon is sure to prosper for many generations to come.
362,Glalie,Face,ICE,NONE,"To protect itself, it clad its body in an armor of ice, made by freezing moisture in the air. ",It can instantly freeze moisture in the atmosphere. It uses this power to freeze its foes. ,"Glalie has a body made of rock, which it hardens with an armor of ice. This Pok̩mon has the ability to freeze moisture in the atmosphere into any shape it desires.","Glalie has the ability to freely control ice. For example, it can instantly freeze its prey solid. After immobilizing its prey in ice, this Pok̩mon enjoys eating it in leisurely fashion."
363,Spheal,Clap,ICE,WATER,"They can't swim well yet, and they move much faster by rolling. When they're happy, they clap fins.",Its body is covered in fluffy fur. The fur keeps it from feeling cold while it is rolling on ice. ,"Spheal is much faster rolling than walking to get around. When groups of this Pok̩mon eat, they all clap at once to show their pleasure. Because of this, their mealtimes are noisy.","Spheal always travels by rolling around on its ball-like body. When the season for ice floes arrives, this Pok̩mon can be seen rolling about on ice and crossing the sea."
364,Sealeo,Ball Roll,ICE,WATER,It has a very sensitive nose. It touches new things with its nose to examine them. ,"Be it Spheal or Pok̩ Ball, it will spin any round object on its nose with the greatest of ease. ",Sealeo has the habit of always juggling on the tip of its nose anything it sees for the first time. This Pok̩mon occasionally entertains itself by balancing and rolling a Spheal on its nose.,"Sealeo often balances and rolls things on the tip of its nose. While the Pok̩mon is rolling something, it checks the object's aroma and texture to determine whether it likes the object or not."
365,Walrein,Ice Break,ICE,WATER,"It shatters ice with its big tusks. Its thick blubber repels not only the cold, but also enemy attacks.",It shatters drift ice with its strong tusks. Its thick layer of blubber repels enemy attacks. ,Walrein's two massively developed tusks can totally shatter blocks of ice weighing 10 tons with one blow. This Pok̩mon's thick coat of blubber insulates it from subzero temperatures.,"Walrein swims all over in frigid seawater while crushing icebergs with its grand, imposing tusks. Its thick layer of blubber makes enemy attacks bounce off harmlessly."
366,Clamperl,Bivalve,WATER,NONE,"When it evolves, it makes a mysterious pearl that amplifies psychic powers when it's held.","It is protected by a sturdy shell. Once in a lifetime, it makes a magnificent pearl. ",Clamperl's sturdy shell is not only good for protection-it is also used for clamping and catching prey. A fully grown Clamperl's shell will be scored with nicks and scratches all over.,"Clamperl grows while being protected by its rock-hard shell. When its body becomes too large to fit inside the shell, it is sure evidence that this Pok̩mon is getting close to evolution."
367,Huntail,Deep Sea,WATER,NONE,It lives deep in the sea where no light ever filters down. It lights up its small fishlike tail to attract prey.,"It lives deep in the sea. With a tail shaped like a small fish, it attracts unsuspecting prey.",Huntail's presence went unnoticed by people for a long time because it lives at extreme depths in the sea. This Pok̩mon's eyes can see clearly even in the murky dark depths of the ocean.,"Huntail's tail is shaped like a fish. It uses the tail to attract prey, then swallows the prey whole with its large, gaping mouth. This Pok̩mon swims by wiggling its slender body like a snake."
368,Gorebyss,South Sea,WATER,NONE,"It lives at the bottom of the sea. In the springtime, its pink body turns more vivid for some reason.","Its swimming form is exquisitely elegant. With its thin mouth, it feeds on seaweed that grows between rocks.","Gorebyss lives in the southern seas at extreme depths. Its body is built to withstand the enormous pressure of water at incredible depths. Because of this, this Pok̩mon's body is unharmed by ordinary attacks.","Although Gorebyss is the very picture of elegance and beauty while swimming, it is also cruel. When it spots prey, this Pok̩mon inserts its thin mouth into the prey's body and drains the prey of its body fluids."
369,Relicanth,Longevity,WATER,ROCK,It has remained unchanged for 100 million years. It was discovered during a deep-sea exploration.,A rare Pok̩mon discovered during a deep-sea  exploration. It has not changed in over  100 million years.,Relicanth is a Pok̩mon species that existed for a hundred million years without ever changing its form. This ancient Pok̩mon feeds on microscopic organisms with its toothless mouth.,Relicanth is a rare species that was discovered in deep-sea explorations. This Pok̩mon's body withstands the enormous water pressure of the ocean depths. Its body is covered in tough scales that are like craggy rocks.
370,Luvdisc,Rendezvous,WATER,NONE,It lives in warm seas. It is said that a couple finding this Pok̩mon will be blessed with eternal love.,"During the spawning season, countless Luvdisc congregate at coral reefs, turning the waters pink.",Luvdisc live in shallow seas in the tropics. This heart-shaped Pok̩mon earned its name by swimming after loving couples it spotted in the ocean's waves.,Luvdisc's heart-shaped body is a symbol of love and romance. It is said that any couple meeting this Pok̩mon is promised a loving relationship that never ends.
371,Bagon,Rock Head,DRAGON,NONE,Its well-developed neck muscles and iron-like head can smash boulders into pieces. ,"Dreaming of one day flying, it practices by leaping off cliffs every day.","Bagon has a dream of one day soaring in the sky. In doomed efforts to fly, this Pok̩mon hurls itself off cliffs. As a result of its dives, its head has grown tough and as hard as tempered steel.","Bagon harbors a never-ending dream of one day soaring high among the clouds. As if trying to dispel its frustration over its inability to fly, this Pok̩mon slams its hard head against huge rocks and shatters them into pebbles."
372,Shelgon,Endurance,DRAGON,NONE,"Within its rugged shell, its cells have begun changing. The shell peels off the instant it evolves.","Its armored body makes all attacks bounce off. The armor is too tough, however, making it heavy and somewhat sluggish.","Inside Shelgon's armor-like shell, cells are in the midst of transformation to create an entirely new body. This Pok̩mon's shell is extremely heavy, making its movements sluggish.","Covering Shelgon's body are outgrowths much like bones. The shell is very hard and bounces off enemy attacks. When awaiting evolution, this Pok̩mon hides away in a cavern."
